Reduction,reduction,,Pixel,ADU,Pixel,ADU
,,,,,594,490
,,,,,595,489
"4239,2","3,71465267",,0,"760,017936282",596,492
,,,,,597,489
,,,,,598,484
,,,,,599,488
"4240,8","3,755299475",,0,"768,334272585",600,492
,,,,,601,490
,,,,,602,491
,,,,,603,490
"4242,4","3,711504075",,0,"759,373733745",604,487
,,,,,605,484
,,,,,606,488
,,,,,607,488
4244,"3,7685815125",,0,"771,0517774575",608,487
,,,,,609,487
,,,,,610,483
,,,,,611,484
"4245,6","3,7726619975",,0,"771,8866446885",612,485
,,,,,613,484
,,,,,614,483
,,,,,615,482
"4247,2","3,7332862725",,0,"763,8303713535",616,483
,,,,,617,482
,,,,,618,481
,,,,,619,477
"4248,8","3,774834295",,0,"772,331096757",620,478
,,,,,621,479
,,,,,622,479
,,,,,623,478
"4250,4","3,71410962",,0,"759,906828252",624,478
,,,,,625,475
,,,,,626,467
,,,,,627,472
4252,"3,74477547",,0,"766,181061162",628,474
,,,,,629,473
,,,,,630,475
,,,,,631,474
"4253,6","3,7407038675",,0,"765,3480112905",632,475
,,,,,633,473
,,,,,634,469
,,,,,635,468
"4255,2","3,735458065",,0,"764,274720099",636,445
,,,,,637,461
,,,,,638,468
,,,,,639,468
"4256,8","3,74769074",,0,"766,777525404",640,471
,,,,,641,467
,,,,,642,468
,,,,,643,467
"4258,4","3,7097302125",,0,"759,0108014775",644,464
,,,,,645,464
,,,,,646,464
,,,,,647,460
4260,"3,691214885",,0,"755,222565471",648,467
,,,,,649,467
,,,,,650,447
,,,,,651,461
"4261,6","3,675758835",,0,"752,060257641",652,463
,,,,,653,465
,,,,,654,461
,,,,,655,461
"4263,2","3,722695665",,0,"761,663533059",656,465
,,,,,657,461
,,,,,658,462
,,,,,659,446
"4264,8","3,731380505",,0,"763,440451323",660,437
,,,,,661,459
,,,,,662,459
,,,,,663,457
"4266,4","3,700166155",,0,"757,053995313",664,459
,,,,,665,458
,,,,,666,458
,,,,,667,457
4268,"3,66065863",,0,"748,970755698",668,457
,,,,,669,453
,,,,,670,457
,,,,,671,456
"4269,6","3,6818067475",,0,"753,2976605385",672,452
,,,,,673,455
,,,,,674,455
,,,,,675,455
"4271,2","3,6466395775",,0,"746,1024575565",676,453
,,,,,677,454
,,,,,678,450
,,,,,679,451
"4272,8","3,64527363",,0,"745,822984698",680,452
,,,,,681,452
,,,,,682,453
,,,,,683,448
"4274,4","3,65381325",,0,"747,57019095",684,450
,,,,,685,449
,,,,,686,450
,,,,,687,444
4276,"3,65567784",,0,"747,951686064",688,443
,,,,,689,449
,,,,,690,450
,,,,,691,446
"4277,6","3,66638229",,0,"750,141816534",692,447
,,,,,693,448
,,,,,694,450
,,,,,695,447
"4279,2","3,6681026675",,0,"750,4938057705",696,446
,,,,,697,444
,,,,,698,447
,,,,,699,446
"4280,8","3,669579825",,0,"750,796032195",700,445
,,,,,701,444
,,,,,702,443
,,,,,703,442
"4282,4","3,636988125",,0,"744,127770375",704,441
,,,,,705,439
,,,,,706,442
,,,,,707,443
4284,"3,6221024775",,0,"741,0821668965",708,439
,,,,,709,440
,,,,,710,439
,,,,,711,441
"4285,6","3,6386277675",,0,"744,4632412305",712,438
,,,,,713,438
,,,,,714,435
,,,,,715,435
"4287,2","3,62269235",,0,"741,20285481",716,437
,,,,,717,435
,,,,,718,429
,,,,,719,435
"4288,8","3,6185163975",,0,"740,3484549285",720,434
,,,,,721,430
,,,,,722,436
,,,,,723,433
"4290,4","3,567472745",,0,"729,904923627",724,436
,,,,,725,433
,,,,,726,431
,,,,,727,434
4292,"3,6226497625",,0,"741,1941414075",728,430
,,,,,729,418
,,,,,730,408
,,,,,731,425
"4293,6","3,57405765",,0,"731,25219519",732,421
,,,,,733,423
,,,,,734,432
,,,,,735,427
"4295,2","3,5756128225",,0,"731,5703834835",736,427
,,,,,737,429
,,,,,738,427
,,,,,739,414
"4296,8","3,532544955",,0,"722,758697793",740,420
,,,,,741,423
,,,,,742,426
,,,,,743,423
"4298,4","3,5739183825",,0,"731,2237010595",744,424
,,,,,745,424
,,,,,746,424
,,,,,747,424
4300,"3,47365924",,0,"710,710680504",748,413
,,,,,749,423
,,,,,750,424
,,,,,751,422
"4301,6","3,51783006",,0,"719,748030276",752,422
,,,,,753,422
,,,,,754,423
,,,,,755,422
"4303,2","3,4517295975",,0,"706,2238756485",756,421
,,,,,757,420
,,,,,758,418
,,,,,759,415
"4304,8","3,53156694",,0,"722,558595924",760,414
,,,,,761,418
,,,,,762,418
,,,,,763,417
"4306,4","3,5138677525",,0,"718,9373421615",764,414
,,,,,765,414
,,,,,766,407
,,,,,767,407
4308,"3,4239183575",,0,"700,5336959445",768,416
,,,,,769,416
,,,,,770,409
,,,,,771,403
"4309,6","3,494321835",,0,"714,938247441",772,411
,,,,,773,406
,,,,,774,411
,,,,,775,413
"4311,2","3,4796879775",,0,"711,9441601965",776,414
,,,,,777,413
,,,,,778,412
,,,,,779,409
"4312,8","3,409566775",,0,"697,597362165",780,408
,,,,,781,408
,,,,,782,409
,,,,,783,410
"4314,4","3,349296845",,0,"685,266134487",784,406
,,,,,785,410
,,,,,786,407
,,,,,787,402
4316,"3,3775379025",,0,"691,0442548515",788,404
,,,,,789,401
,,,,,790,393
,,,,,791,403
"4317,6","3,36685838",,0,"688,859224548",792,407
,,,,,793,403
,,,,,794,404
,,,,,795,403
"4319,2","3,3168543525",,0,"678,6284005215",796,399
,,,,,797,389
,,,,,798,400
,,,,,799,401
"4320,8","3,2643649775",,0,"667,8890743965",800,401
,,,,,801,401
,,,,,802,395
,,,,,803,400
"4322,4","3,2301647675",,0,"660,8917114305",804,399
,,,,,805,400
,,,,,806,398
,,,,,807,396
4324,"3,1579474125",,0,"646,1160405975",808,400
,,,,,809,399
,,,,,810,400
,,,,,811,395
"4325,6","3,00364362",,0,"614,545484652",812,397
,,,,,813,396
,,,,,814,395
,,,,,815,395
"4327,2","2,948693165",,0,"603,302621559",816,391
,,,,,817,393
,,,,,818,394
,,,,,819,395
"4328,8","2,83951257",,0,"580,964271822",820,391
,,,,,821,390
,,,,,822,378
,,,,,823,378
"4330,4","2,6614382625",,0,"544,5302685075",824,391
,,,,,825,394
,,,,,826,392
,,,,,827,389
4332,"2,4749079975",,0,"506,3661762885",828,386
,,,,,829,390
,,,,,830,385
,,,,,831,381
"4333,6","2,2482975325",,0,"460,0016751495",832,388
,,,,,833,388
,,,,,834,386
,,,,,835,387
"4335,2","1,97145951",,0,"403,360615746",836,384
,,,,,837,383
,,,,,838,388
,,,,,839,387
"4336,8","1,676367285",,0,"342,984746511",840,387
,,,,,841,385
,,,,,842,387
,,,,,843,386
"4338,4","1,340603605",,0,"274,287497583",844,386
,,,,,845,385
,,,,,846,385
,,,,,847,385
4340,"0,9779822275",,0,"200,0951637465",848,383
,,,,,849,383
,,,,,850,383
,,,,,851,374
"4341,6","1,1140811975",,0,"227,9410130085",852,378
,,,,,853,382
,,,,,854,382
,,,,,855,381
"4343,2","1,4679314725",,0,"300,3387792735",856,379
,,,,,857,379
,,,,,858,379
,,,,,859,380
"4344,8","1,7792890425",,0,"364,0425380955",860,382
,,,,,861,381
,,,,,862,380
,,,,,863,380
"4346,4","2,06183655",,0,"421,85175813",864,377
,,,,,865,380
,,,,,866,377
,,,,,867,376
4348,"2,3019445575",,0,"470,9778564645",868,377
,,,,,869,378
,,,,,870,378
,,,,,871,375
"4349,6","2,5155262425",,0,"514,6766692155",872,374
,,,,,873,375
,,,,,874,377
,,,,,875,370
"4351,2","2,6123609775",,0,"534,4890559965",876,367
,,,,,877,373
,,,,,878,373
,,,,,879,372
"4352,8","2,78014315",,0,"568,81728849",880,372
,,,,,881,373
,,,,,882,372
,,,,,883,370
"4354,4","2,9233767625",,0,"598,1228856075",884,370
,,,,,885,372
,,,,,886,373
,,,,,887,371
4356,"3,03299893",,0,"620,551581078",888,370
,,,,,889,370
,,,,,890,367
,,,,,891,369
"4357,6","3,08627457",,0,"631,451777022",892,366
,,,,,893,368
,,,,,894,367
,,,,,895,365
"4359,2","3,156861465",,0,"645,893855739",896,367
,,,,,897,368
,,,,,898,369
,,,,,899,369
"4360,8","3,198558645",,0,"654,425098767",900,370
,,,,,901,367
,,,,,902,366
,,,,,903,366
"4362,4","3,2294572675",,0,"660,7469569305",904,366
,,,,,905,368
,,,,,906,367
,,,,,907,367
4364,"3,278401945",,0,"670,761037947",908,365
,,,,,909,364
,,,,,910,364
,,,,,911,365
"4365,6","3,3022538",,0,"675,64112748",912,366
,,,,,913,365
,,,,,914,363
,,,,,915,362
