Pixel	ADU
1341	261
1342	259
1343	258
1344	261
1345	262
1346	261
1347	252
1348	249
1349	256
1350	259
1351	260
1352	259
1353	258
1354	259
1355	258
1356	258
1357	259
1358	258
1359	257
1360	257
1361	258
1362	257
1363	257
1364	256
1365	257
1366	256
1367	257
1368	256
1369	256
1370	257
1371	256
1372	255
1373	256
1374	255
1375	255
1376	254
1377	254
1378	254
1379	254
1380	253
1381	253
1382	253
1383	253
1384	253
1385	253
1386	252
1387	252
1388	251
1389	252
1390	252
1391	250
1392	251
1393	250
1394	249
1395	249
1396	248
1397	250
1398	247
1399	245
1400	247
1401	248
1402	247
1403	247
1404	243
1405	246
1406	247
1407	247
1408	247
1409	246
1410	247
1411	247
1412	245
1413	246
1414	245
1415	244
1416	245
1417	244
1418	244
1419	244
1420	242
1421	243
1422	236
1423	224
1424	232
1425	234
1426	238
1427	240
1428	241
1429	240
1430	238
1431	237
1432	236
1433	240
1434	236
1435	239
1436	235
1437	240
1438	237
1439	238
1440	237
1441	237
1442	239
1443	237
1444	238
1445	238
1446	237
1447	237
1448	235
1449	236
1450	238
1451	237
1452	237
1453	237
1454	238
1455	237
1456	237
1457	236
1458	236
1459	236
1460	236
1461	237
1462	236
1463	235
1464	236
1465	235
1466	220
1467	224
1468	234
1469	234
1470	234
1471	234
1472	234
1473	234
1474	233
1475	233
1476	233
1477	233
1478	234
1479	233
1480	232
1481	226
1482	223
1483	232
1484	233
1485	233
1486	233
1487	233
1488	231
1489	231
1490	231
1491	231
1492	230
1493	231
1494	231
1495	231
1496	230
1497	230
1498	230
1499	230
1500	230
1501	229
1502	230
1503	229
1504	229
1505	229
1506	229
1507	228
1508	229
1509	228
1510	226
1511	227
1512	227
1513	227
1514	228
1515	227
1516	227
1517	227
1518	227
1519	227
1520	225
1521	226
1522	226
1523	226
1524	225
1525	226
1526	225
1527	225
1528	224
1529	223
1530	224
1531	224
1532	223
1533	221
1534	218
1535	216
1536	221
1537	222
1538	222
1539	221
1540	221
1541	220
1542	219
1543	220
1544	221
1545	218
1546	215
1547	215
1548	218
1549	216
1550	219
1551	215
1552	215
1553	218
1554	218
1555	218
1556	215
1557	216
1558	216
1559	214
1560	216
1561	216
1562	218
1563	217
1564	216
1565	216
1566	215
1567	214
1568	215
1569	214
1570	213
1571	210
1572	204
1573	210
1574	211
1575	213
1576	212
1577	210
1578	211
1579	212
1580	211
1581	210
1582	207
1583	206
1584	206
1585	205
1586	204
1587	203
1588	199
1589	195
1590	193
1591	189
1592	186
1593	185
1594	181
1595	172
1596	167
1597	161
1598	151
1599	142
1600	129
1601	100
1602	100
1603	131
1604	141
1605	151
1606	160
1607	166
1608	174
1609	176
1610	183
1611	187
1612	190
1613	192
1614	194
1615	197
1616	198
1617	199
1618	201
1619	201
1620	202
1621	204
1622	204
1623	205
1624	204
1625	204
1626	205
1627	205
1628	204
1629	204
1630	204
1631	205
1632	205
1633	205
1634	204
1635	205
1636	205
1637	205
1638	204
1639	205
1640	204
1641	204
1642	204
1643	205
1644	205
1645	205
1646	205
1647	205
1648	204
1649	205
1650	204
1651	204
1652	204
1653	204
1654	204
1655	204
1656	204
1657	204
1658	203
1659	204
1660	204
1661	203
1662	203
1663	203
1664	203
1665	203
1666	203
1667	203
1668	203
1669	201
1670	201
1671	202
1672	202
1673	201
1674	199
1675	201
1676	201
1677	201
1678	201
1679	201
1680	201
1681	201
1682	201
1683	201
1684	200
1685	200
1686	199
1687	199
1688	200
1689	199
1690	200
1691	200
1692	200
1693	200
1694	199
1695	198
1696	198
1697	198
1698	198
1699	197
1700	197
1701	197
1702	192
1703	198
1704	197
1705	197
1706	196
1707	197
1708	197
1709	196
1710	195
1711	195
1712	196
1713	196
1714	195
1715	195
1716	194
1717	195
1718	194
1719	195
1720	194
1721	194
1722	194
1723	193
1724	193
1725	193
1726	193
1727	193
1728	193
1729	193
1730	192
1731	192
1732	191
1733	191
1734	190
1735	190
1736	191
1737	190
1738	190
1739	190
1740	189
1741	189
1742	188
1743	189
1744	189
1745	190
1746	192
1747	193
1748	191
1749	191
1750	189
1751	191
1752	191
1753	191
1754	191
1755	190
1756	190
1757	189
1758	190
1759	189
1760	189
1761	188
1762	188
1763	189
1764	189
1765	189
1766	189
1767	188
1768	188
1769	187
1770	187
1771	187
1772	186
1773	186
1774	187
1775	186
1776	185
1777	186
1778	186
1779	185
1780	186
1781	185
1782	185
1783	184
1784	185
1785	184
1786	184
1787	184
1788	184
1789	184
1790	183
1791	181
1792	172
1793	173
1794	174
1795	174
1796	176
1797	177
1798	178
1799	178
1800	181
1801	182
1802	179
1803	178
1804	177
1805	177
1806	177
1807	178
1808	176
1809	178
1810	175
1811	179
1812	176
1813	179
1814	179
1815	176
1816	178
1817	178
1818	178
1819	179
1820	177
1821	177
1822	177
1823	177
1824	178
1825	179
1826	176
1827	177
1828	178
1829	177
1830	177
1831	177
1832	176
1833	176
1834	177
1835	177
1836	176
1837	175
1838	176
1839	176
1840	175
1841	176
1842	176
1843	174
1844	175
1845	176
1846	175
1847	175
1848	176
1849	174
1850	174
1851	175
1852	175
1853	174
1854	174
1855	175
1856	174
1857	174
1858	174
1859	174
1860	173
1861	173
1862	173
1863	172
1864	173
1865	174
1866	173
1867	173
1868	173
1869	173
1870	172
1871	172
1872	173
1873	174
1874	172
1875	172
1876	170
1877	172
1878	172
1879	172
1880	172
1881	171
1882	172
1883	172
1884	171
1885	170
1886	170
1887	171
1888	170
1889	171
1890	171
1891	170
1892	169
1893	171
1894	170
1895	170
1896	170
1897	171
1898	170
1899	169
1900	170
1901	168
1902	169
1903	170
1904	169
1905	169
1906	169
1907	169
1908	169
1909	168
1910	167
1911	168
1912	167
1913	168
1914	167
1915	166
1916	167
1917	168
1918	167
1919	167
1920	167
1921	167
1922	167
1923	166
1924	166
1925	167
1926	166
1927	166
1928	167
1929	166
1930	165
1931	166
1932	166
1933	166
1934	167
1935	167
1936	166
1937	166
1938	166
1939	166
1940	165
1941	166
1942	165
1943	165
1944	166
1945	166
1946	165
1947	163
1948	163
1949	164
1950	165
1951	165
1952	165
1953	165
1954	165
1955	164
1956	165
1957	164
1958	164
1959	164
1960	164
1961	165
1962	165
1963	163
1964	164
1965	163
1966	163
1967	163
1968	163
1969	162
1970	164
1971	163
1972	162
1973	161
1974	162
1975	163
1976	163
1977	161
1978	162
1979	162
1980	161
1981	159
1982	159
1983	159
1984	160
1985	159
1986	159
1987	160
1988	157
1989	160
1990	157
1991	157
1992	158
1993	160
1994	157
1995	158
1996	159
1997	159
1998	158
1999	159
2000	155
2001	159
2002	157
2003	157
2004	157
2005	158
2006	158
2007	157
2008	158
2009	158
2010	157
2011	158
2012	157
2013	158
2014	157
2015	158
2016	158
2017	157
2018	158
2019	157
2020	154
2021	154
2022	155
2023	155
2024	156
2025	154
2026	156
2027	154
2028	156
2029	155
2030	155
2031	155
2032	154
2033	152
2034	154
2035	155
2036	154
2037	154
2038	154
2039	154
2040	152
2041	154
2042	154
2043	154
2044	153
2045	152
2046	153
2047	152
2048	151
2049	153
2050	154
2051	153
2052	154
2053	154
2054	152
2055	153
2056	151
2057	153
2058	152
2059	152
2060	152
2061	152
2062	151
2063	151
2064	150
2065	150
2066	152
2067	151
2068	151
2069	151
2070	151
2071	150
2072	150
2073	150
2074	151
2075	151
2076	151
2077	151
2078	151
2079	150
2080	150
2081	150
2082	149
2083	149
2084	149
2085	150
2086	150
2087	149
2088	149
2089	149
2090	149
2091	148
2092	149
